Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
174582;3228470001007;250G CAFE MOULU L OR ABSOLU   ;250G CAFE MOUL;1 ;3.09;0105011005;25;30 ;3 
003012;0000000003012;(MT)POIRE ABATE 70/75         ;POIRE ABATE   ;1 ;1.29;0230349900;91;440;ZZ
437540;3256220511643;4X100G DESSERT/FRT POMME NAT.U;4X100G DESSERT;1 ;0.59;0105061010;80;200;8 
003401;0000000003401;AVOCAT PIECE                  ;AVOCAT PIECE  ;1 ;0.55;0230349900;91;440;ZZ
486426;7613031526406;16 X DOLCE GUSTO ESPRESSO INTE;16 X DOLCE GUS;1 ;3.37;0105011005;37;30 ;3 
017785;3080216017785;50CL BTE KRONENBOURG RGE 7(CU);50CL BTE KRONE;2 ;0.82;0110102005;42;310;ZZ
036019;7613035011052;1L50 BOUTEILLE CONTREX        ;1L50 BOUTEILLE;1 ;0.45;0110103005;12;320;ZZ
009082;0000000009082;(MT)POMME GOLDEN 2KG          ;POM.GOLD.2KG  ;1 ;1.55;0230349900;91;440;ZZ
380191;3179732368942;1L PET PERRIER CITRON VERT    ;1L PET PERRIER;1 ;0.77;0110103005;40;320;3 
020660;8000500003787;200G FERRERO ROCHERS T16      ;200G FERRERO R;1 ;3.5;0105024020;24;63 ;3 
009129;0000000009129;(MT)RAISIN ALEDO              ;RAIS.ALEDO OR ;1 ;3.5;0230349900;91;440;ZZ
NULL;3256220170321;SAUMON AU NATUREL U 1/5       ;SAUMON AU NATU;1 ;1.35;0105051005;80;220;8 
134759;3256221134759;SAUCE BEARNAISE U (CU)        ;SAUCE BEARNAIS;1 ;0.47;0105034010;60;140;ZZ
412639;3256223028322;1L BRIQU JUS ABC PAMPLE.ROSE U;1L BRIQU JUS A;1 ;0.75;0110101505;32;300;8 
004645;0000000004645;(MT)CHAMPIGNON FORESTIER BQ.  ;CHAMP.FOREST. ;1 ;1.8;0230359900;93;450;ZZ
004051;0000000004051;MANGUE PIECE UB               ;MANGUE PIECE U;1 ;1.3;0230349900;91;440;ZZ
340719;3045320008920;370G CHATAIGNES    BONNE MAMAN;370G CHATAIGNE;1 ;1.49;0105012505;10;200;3 
520335;3249290012264;1.5L LIMONADE PPX PUMA PET    ;1.5L LIMONADE ;1 ;0.44;0110100505;10;300;1 
495124;4008667009936;1L PET OCEAN SPRAY CLASSIC    ;1L PET OCEAN S;1 ;1.45;0110100515;15;300;3 
003240;0000000003240;(MT)PECHE BLANCHE PLATE       ;PECHE BLANCHE ;1 ;2.1;0230349900;91;440;ZZ
904741;4005900035684;200ML DEO HOM NIVEA BLACK POWE;200ML DEO HOM ;2 ;2.39;0120152005;55;650;3 
648939;3242274007058;320G SALADE STOCKHOLM SAUMON  ;320G SALADE ST;1 ;2.78;0240391520;53;380;3 
037366;5000161019656;450G CROQ ONE JUNIOR POULETRIZ;450G CROQ ONE ;2 ;1.85;0105081005;36;270;3 
009078;0000000009078;(MT)COURGETTE FLEUR           ;COUGETTE FLEUR;1 ;2.94;0230349900;91;440;ZZ
598760;7622210113535;53G CAPS CARTE NOIRE INTENS. 9;53G CAPS CARTE;1 ;2.2;0105011005;38;30 ;3 
046408;7622300046408;2X100G MILKA CAR(CU)          ;2X100G MILKA C;2 ;1.5;0105021505;30;60 ;ZZ
307020;3336971307020;MONSTER MUNCH SALE(CU)        ;MONSTER MUNCH ;1 ;0.72;0105020505;15;20 ;3 
529533;4017100376108;PQ 125G CROISSANT LUNE BAHLSEN;PQ 125G CROISS;1 ;0.83;0105021005;26;20 ;3 
107666;3017760381697;90G CROUSTILLES CACAHUETTES   ;90G CROUSTILLE;1 ;0.78;0105020505;15;20 ;3 
410263;3256224070290;4/4 BTE SAUCISSES LENTILLES U ;4/4 BTE SAUCIS;1 ;1.21;0105051510;26;240;8 
NULL;3256221212297;150G PISTACHE GRILLEE SEC U   ;150G PISTACHE ;1 ;1.31;0105020505;18;20 ;8 
004796;0000000004796;(MT)TOMATE CERISE BQ.250G UE  ;TOMATE CERISE ;1 ;1.2;0230359900;93;450;ZZ
921337;3760077980953;75CL BDX RGE CH.SAILLAN       ;75CL BDX RGE C;2 ;1.94;0110111010;32;340;3 
004643;0000000004643;(MT)SALADE BATAVIA            ;SALADE BATAVIA;1 ;0.48;0230359900;93;450;ZZ
560709;3367651002416;230G TRI XXL POULET ROTI MAYO ;230G TRI XXL P;1 ;1.95;0240391505;52;380;3 
041722;8717496041722;(MT)FRAMBOISE BARQUETTE 125   ;FRAMBOISE BARQ;1 ;1.35;0230349900;91;440;ZZ
000200;0000000000200;(MT)BOISSON FRAICHE 1EURO     ;BOISSON FRAICH;1 ;0.1;0105012000;40;300;ZZ
009091;0000000009091;(MT)CLEMENTINE GAMIN          ;CLEMENT. GAMIN;1 ;2.75;0230349900;91;440;ZZ
004410;0000000004410;(MT)POIRE WILLIAMS ROUGE      ;POIRE WILLIAMS;1 ;1.74;0230349900;91;440;8 
003236;0000000003236;(MT)PECHE JAUNE               ;PECHE JAUNE   ;1 ;1.8;0230349900;91;440;8 
238637;7622210353252;2X276G GRANOLA COOKIE MAX CHOC;2X276G GRANOLA;1 ;3.61;0105021005;28;20 ;ZZ
NULL;3256222254234;VINAIG.BLASA/OLIVE U 550ML    ;VINAIG.BLASA/O;1 ;1.31;0105032510;47;140;8 
009121;0000000009121;(MT)CLEMENVILLA 2KG           ;CLEMENVILL 2KG;1 ;1.8;0230349900;91;440;ZZ
598736;3256223683835;390G SPECIAL SAUCE COULIS U   ;390G SPECIAL S;1 ;0.69;0105034510;70;140;8 
485365;3256222215143;1/5 SARDINE HUIL.OLIV VIERGE U;1/5 SARDINE HU;1 ;0.84;0105051005;10;220;8 
476340;3660992007875;3X1/12 CONCENTRE TOMATE B.VU  ;3X1/12 CONCENT;1 ;0.38;0105034510;80;140;9 
003150;0000000003150;TOMATE COCKTAIL               ;TOMATE COCKTAI;1 ;1.3;0230359900;93;450;ZZ
597081;3502110004765;1L TROPICANA ESSENTIEL FIBRES ;1L TROPICANA E;1 ;1.91;0110101505;30;300;3 
003093;0000000003093;RAISIN NOIR BLACK MAGIC ITALIE;RAISIN NOIR BL;1 ;2.5;0230349900;91;440;ZZ
009088;0000000009088;(MT)ASPERGE VERTE BOTTE       ;ASPERGE V. BOT;1 ;2.45;0230359900;93;450;3 
352805;3017760635295;225G PRINCE GRANOLA POCKET    ;225G PRINCE GR;1 ;1.45;0105021005;38;20 ;3 
520725;3242274000059;320G SALADE MANHATTAN         ;320G SALADE MA;4 ;2.82;0240391520;53;380;3 
466905;3496080210199;BRIK 6X1L 1/2 ECR PPX LAIT ICI;BRIK 6X1L 1/2 ;1 ;3.62;0225321005;40;90 ;1 
004348;0000000004348;PASTEQUE                      ;PASTEQUE      ;1 ;0.65;0230349900;91;440;ZZ
009063;0000000009063;(MT)POMME D.TERRE CHERIE 2,5KG;PDT CHERIE 2,5;1 ;2.31;0230359900;93;450;ZZ
215223;7613035618299;162 G ESCARGOTS LAIT LANVIN   ;162 G ESCARGOT;1 ;4.45;0105024020;42;61 ;ZZ
415598;3256223014547;75CL BIDON SIROP MENTHE U     ;75CL BIDON SIR;1 ;1.21;0110101005;60;300;8 
003853;0000000003853;ORANGE VALENCIALATE 2KG 5/6   ;ORANGE VALENCI;1 ;2.1;0230349900;91;440;ZZ
944254;5449000214058;1L5 FANTA ANANAS CITRON       ;1L5 FANTA ANAN;1 ;1.43;0110100505;15;300;3 
118560;3173287140145;200G BALLOTIN CHARDONS 7 LIQUE;200G BALLOTIN ;2 ;1.3;0105024020;40;61 ;ZZ
004060;0000000004060;BROCOLI                       ;BROCOLI       ;1 ;1.95;0230359900;93;450;ZZ
290122;8437002290122;(MT)SALADE SUCRINE BARQUETTE  ;SALADE SUCRINE;1 ;1.0;0230359900;93;450;ZZ
NULL;5053827104081;KELLOGG S FROSTIES PAQUET 400G;KELLOGG S FROS;1 ;2.13;0105012010;30;40 ;ZZ
416829;3336970711057;ST 60G CURLY CACAHUET  LORENZ ;ST 60G CURLY C;1 ;0.49;0105020505;15;20 ;3 
105557;3045140105557;LOT 3X100G  MILKA (CU)        ;LOT 3X100G  MI;2 ;2.09;0105021505;35;60 ;ZZ
282849;3256221282849;RAS.JETABLE LADY3 BYU LAM(CU) ;RAS.JETABLE LA;2 ;1.01;0120153010;85;650;ZZ
020686;8000500167113;375G BOITE FERRERO ROCHERS T30;375G BOITE FER;1 ;5.99;0105024020;30;61 ;ZZ
735001;3760147735001;RADIS BOTTE                   ;RADIS BOTTE   ;1 ;0.9;0230359900;93;450;ZZ
004450;0000000004450;(MT)CLEMENTINE COR            ;CLEMENTINE COR;1 ;3.52;0105012000;91;440;ZZ
825206;4046719707393;2 EPONGES GRATTANTES BLEUES   ;2 EPONGES GRAT;2 ;1.13;0115140505;90;510;3 
127470;7613034636591;FOND DE VEAU BOITE 110G  MAGGI;FOND DE VEAU B;1 ;2.01;0105035005;10;130;3 
003854;3017800078723;1/2 POIS CAROTTE EXT/FIN DAUCY;1/2 POIS CAROT;1 ;0.73;0105043505;10;210;3 
